code,rail,native_description,leg,category,retryability,owner,customer_message,iso20022_equivalent
U03,upi,Net debit cap exceeded — remitter bank exceeded its NPCI net debit cap,collection,limits_regulatory,retryable,banking_partner,Your bank has hit a temporary system limit. Please retry in a few minutes.,AM02
U09,upi,ReqAuth timeout — authorization request timed out before customer responded,collection,technical,retryable,payer,The approval request timed out. Please retry and approve promptly.,TM01
U16,upi,Risk threshold exceeded — transaction blocked by risk rules,collection,compliance,terminal,compliance,This payment could not be processed. Please contact support for assistance.,FRAD
U17,upi,PSP is not registered — payment service provider not registered with NPCI,collection,technical,retryable_after_fix,internal_eng,A configuration issue occurred. Our team is on it.,DNOR
U28,upi,PSP not available — remitter/beneficiary bank systems are down,collection,technical,retryable,banking_partner,The bank's systems are temporarily unavailable. Please retry shortly.,ED05
U29,upi,Address resolution failure — virtual address (VPA) could not be resolved,collection,data_quality,retryable_after_fix,payer,The UPI ID could not be found. Please check the UPI ID and retry.,BE06
U30,upi,Debit has failed — debit leg failed at the remitter bank,collection,technical,retryable,banking_partner,Your bank could not complete the debit. Please retry; any debited amount auto-reverses.,MS03
U31,upi,Credit has failed — credit leg failed at the beneficiary bank,collection,technical,retryable,banking_partner,The recipient's bank could not receive the payment. It will be retried or auto-reversed.,ED05
U53,upi,Debit acknowledgement not received from PSP,collection,technical,retryable,banking_partner,A confirmation delay occurred. The payment status will update shortly.,ED05
U54,upi,Transaction ID mismatch between request and response,collection,technical,retryable_after_fix,internal_eng,A technical mismatch occurred. Our team is investigating.,FF01
U66,upi,Device fingerprint mismatch — device binding check failed,collection,compliance,retryable_after_fix,payer,Your device could not be verified. Please re-register your device in the UPI app.,FRAD
U67,upi,Debit timeout — debit request to remitter bank timed out,collection,technical,retryable,banking_partner,The bank took too long to respond. Please retry; any debit auto-reverses.,TM01
U68,upi,Credit timeout — credit request to beneficiary bank timed out,collection,technical,retryable,banking_partner,The recipient's bank took too long to respond. The payment will be retried or reversed.,TM01
U69,upi,Collect request expired — payer did not approve within the validity window,collection,technical,retryable,payer,The payment request expired. Please initiate a fresh request.,TM01
U70,upi,Received late response — response arrived after timeout window,collection,technical,retryable,banking_partner,A delayed response caused this payment to fail. Please retry.,TM01
U88,upi,Connection timeout in ReqPay — network failure between UPI entities,collection,technical,retryable,banking_partner,A network issue interrupted the payment. Please retry.,ED05
Z9,upi,Insufficient funds in customer account,collection,funds,retryable_after_fix,payer,Insufficient balance. Please top up your account and retry.,AM04
ZA,upi,Transaction declined by customer — payer rejected the collect request,collection,technical,terminal,payer,You declined this payment request.,MS02
ZD,upi,Validation error — request failed field validation at the bank,collection,data_quality,retryable_after_fix,internal_eng,A validation issue occurred. Please retry; our team has been notified.,FF01
ZM,upi,Invalid MPIN — UPI PIN entered is incorrect,collection,data_quality,retryable_after_fix,payer,Incorrect UPI PIN. Please retry with the correct PIN.,MS02
ZR,upi,Invalid OTP — one-time password entered is incorrect,collection,data_quality,retryable_after_fix,payer,Incorrect OTP. Please retry with the correct code.,MS02
ZS,upi,OTP expired — one-time password validity elapsed,collection,technical,retryable,payer,The OTP expired. Please request a new one and retry.,TM01
ZX,upi,Inactive or dormant account,collection,limits_regulatory,retryable_after_fix,payer,The account is inactive. Please contact your bank to reactivate it.,AC06
XB,upi,Invalid transaction at remitter side,collection,technical,retryable_after_fix,banking_partner,Your bank rejected this transaction type. Please contact your bank.,AG01
XC,upi,Invalid transaction at beneficiary side,collection,technical,retryable_after_fix,banking_partner,The recipient's bank rejected this transaction type.,AG01
XD,upi,Invalid amount at remitter side,collection,data_quality,retryable_after_fix,internal_eng,The amount was invalid for this payment. Please retry.,AM01
XF,upi,Format error at remitter side,collection,technical,retryable_after_fix,internal_eng,A formatting issue occurred. Our team is on it.,FF01
XH,upi,Account does not exist at remitter side,collection,data_quality,terminal,payer,The linked account could not be found. Please re-link your bank account.,AC02
XP,upi,Transaction not permitted to account at remitter side,collection,limits_regulatory,terminal,banking_partner,Your account type does not permit this payment.,AG01
XY,upi,Remitter CBS offline — sending bank's core banking system unavailable,collection,technical,retryable,banking_partner,Your bank's systems are temporarily down. Please retry shortly.,ED05
XZ,upi,Beneficiary CBS offline — receiving bank's core banking system unavailable,collection,technical,retryable,banking_partner,The recipient's bank systems are temporarily down. Please retry shortly.,ED05
K1,upi,Suspected fraud / declined based on risk score by remitter bank,collection,compliance,terminal,compliance,This payment could not be processed. Please contact support for assistance.,FRAD
YA,upi,Lost or stolen instrument,collection,compliance,terminal,compliance,This payment instrument has been blocked. Please contact your bank.,FRAD
01,card,Refer to card issuer — issuer wants direct contact before approving,collection,technical,retryable_after_fix,payer,"Your bank needs to verify this payment. Please contact your card issuer, then retry.",MS03
03,card,Invalid merchant — merchant ID invalid or not permitted,collection,technical,retryable_after_fix,internal_eng,A merchant configuration issue occurred. Our team is fixing it.,AG02
04,card,Pick up card — issuer requests card retention (no fraud implied),collection,compliance,terminal,payer,This card cannot be used. Please contact your bank or use a different card.,FRAD
05,card,"Do not honor — generic issuer decline (risk rules, temporary block, or unspecified)",collection,compliance,retryable_after_fix,payer,Your bank declined this payment without a specific reason. Contact your bank or try another card.,MS03
06,card,Error — general error at issuer,collection,technical,retryable,banking_partner,A temporary error occurred at your bank. Please retry.,ED05
12,card,Invalid transaction — transaction type not allowed for this card/merchant combination,collection,technical,terminal,internal_eng,This transaction type isn't supported for this card. Please try a different payment method.,AG01
13,card,Invalid amount — amount field invalid or exceeds permitted range,collection,data_quality,retryable_after_fix,internal_eng,The payment amount was invalid. Please retry.,AM01
14,card,Invalid account number — no such card number at issuer,collection,data_quality,retryable_after_fix,payer,The card number appears invalid. Please check and re-enter your card details.,AC01
15,card,No such issuer — card number prefix doesn't match any issuer,collection,data_quality,retryable_after_fix,payer,The card number appears invalid. Please check and re-enter your card details.,RC01
30,card,Format error — message failed format validation,collection,technical,retryable_after_fix,internal_eng,A technical formatting issue occurred. Our team is on it.,FF01
41,card,Lost card — card reported lost,collection,compliance,terminal,compliance,This card has been blocked. Please use a different card.,FRAD
43,card,Stolen card — card reported stolen,collection,compliance,terminal,compliance,This card has been blocked. Please use a different card.,FRAD
46,card,Closed account (Mastercard) — account closed by issuer or cardholder,collection,data_quality,terminal,payer,This card account is closed. Please use a different card.,AC04
51,card,Insufficient funds — balance/credit limit cannot cover the amount,collection,funds,retryable_after_fix,payer,Insufficient funds on this card. Please top up or use another card.,AM04
54,card,Expired card,collection,data_quality,retryable_after_fix,payer,This card has expired. Please use a current card.,AC04
55,card,Incorrect PIN,collection,data_quality,retryable_after_fix,payer,Incorrect PIN. Please retry with the correct PIN.,MS02
57,card,Transaction not permitted to cardholder — card not enabled for this transaction type (e.g. international/online disabled),collection,limits_regulatory,retryable_after_fix,payer,Your card isn't enabled for this type of payment. Enable international/online transactions in your banking app and retry.,AG01
58,card,Transaction not permitted to terminal — merchant not allowed this transaction type,collection,limits_regulatory,retryable_after_fix,internal_eng,A merchant configuration issue occurred. Our team is fixing it.,AG01
59,card,Suspected fraud — issuer risk systems flagged the transaction,collection,compliance,terminal,compliance,This payment could not be processed. Please contact your bank or use a different card.,FRAD
61,card,Exceeds withdrawal amount limit,collection,limits_regulatory,retryable_after_fix,payer,This payment exceeds your card limit. Adjust your limit in your banking app or use another card.,AM02
62,card,Restricted card — card blocked for this merchant category or country (can include sanctions geo-blocks),collection,limits_regulatory,terminal,compliance,This card is restricted for this type of payment. Please use a different card.,AG01
63,card,Security violation — security rules breached (e.g. CVV mismatch handling per network),collection,compliance,retryable_after_fix,payer,A security check failed. Please verify your card details and retry.,FRAD
65,card,Exceeds withdrawal frequency limit (Visa: may also signal strong customer authentication required),collection,limits_regulatory,retryable_after_fix,payer,"Your card has hit a usage limit, or additional authentication is required. Please retry with verification.",AM02
75,card,Allowable number of PIN tries exceeded,collection,limits_regulatory,retryable_after_fix,payer,Too many incorrect PIN attempts. The card is temporarily locked — contact your bank.,MS02
78,card,"Blocked, first use (Visa) — new card not yet activated",collection,limits_regulatory,retryable_after_fix,payer,"This card hasn't been activated yet. Activate it with your bank, then retry.",AC06
82,card,"Negative CAM, dCVV, iCVV or CVV results — card verification data mismatch",collection,data_quality,retryable_after_fix,payer,The card security code didn't match. Please re-enter your card details.,MS02
91,card,Issuer unavailable or switch inoperative — issuer systems down,collection,technical,retryable,banking_partner,Your bank's systems are temporarily unavailable. Please retry shortly.,ED05
92,card,Unable to route transaction — destination cannot be found for routing,collection,technical,retryable,banking_partner,A routing issue occurred. Please retry shortly.,ED05
93,card,"Transaction cannot be completed, violation of law",collection,compliance,terminal,compliance,This payment cannot be completed due to a regulatory restriction.,RR04
94,card,Duplicate transmission — transaction already submitted,collection,technical,terminal,internal_eng,This payment was flagged as a duplicate and stopped for your protection.,DUPL
96,card,System malfunction — processing error at issuer or network,collection,technical,retryable,banking_partner,A temporary system error occurred. Please retry shortly.,ED05
N7,card,Decline for CVV2 failure (Visa),collection,data_quality,retryable_after_fix,payer,The card security code (CVV) didn't match. Please re-enter your card details.,MS02
AC01,fps,IncorrectAccountNumber — sort code/account number fails validation (FPS ISO 20022),disbursement,data_quality,retryable_after_fix,merchant_ops,The UK account number or sort code is invalid. Please verify beneficiary details.,AC01
AC04,fps,ClosedAccountNumber — UK beneficiary account closed,disbursement,data_quality,terminal,merchant_ops,The recipient's UK account is closed. Updated account details are needed.,AC04
AC06,fps,BlockedAccount — UK beneficiary account blocked,disbursement,limits_regulatory,retryable_after_fix,banking_partner,The recipient's account is blocked. They should contact their bank.,AC06
AG01,fps,TransactionForbidden — account does not accept Faster Payments,disbursement,limits_regulatory,terminal,banking_partner,The recipient's account cannot receive Faster Payments. An alternate route is needed.,AG01
AM05,fps,Duplication — duplicate FPS payment detected,disbursement,technical,terminal,internal_eng,This payment was flagged as a duplicate and stopped for your protection.,AM05
BE01,fps,InconsistentWithEndCustomer — beneficiary name inconsistent with account,disbursement,data_quality,retryable_after_fix,merchant_ops,The recipient name doesn't match the account. Please verify beneficiary details.,BE01
CUST,fps,RequestedByCustomer — recall/cancellation requested by sender,disbursement,technical,terminal,payer,This payment was cancelled at the sender's request.,CUST
DUPL,fps,DuplicatePayment — payment is a duplicate,disbursement,technical,terminal,internal_eng,This payment was identified as a duplicate and stopped.,DUPL
FRAD,fps,FraudulentOrigin — payment flagged as fraudulent (UK APP fraud controls),disbursement,compliance,terminal,compliance,This payment could not be processed. Please contact support.,FRAD
MD07,fps,EndCustomerDeceased — beneficiary deceased,disbursement,data_quality,terminal,merchant_ops,This payment could not be completed. Please contact support.,MD07
RC01,fps,BankIdentifierIncorrect — sort code invalid or not FPS-reachable,disbursement,data_quality,retryable_after_fix,merchant_ops,The UK sort code is invalid or unreachable. Please verify the bank details.,RC01
RR04,fps,RegulatoryReason — held or rejected for UK regulatory reasons,disbursement,compliance,retryable_after_fix,compliance,This payment is held for a regulatory check. We will update you shortly.,RR04
TM01,fps,InvalidCutOffTime — received after processing window,disbursement,technical,retryable,internal_eng,The payment missed today's window and will be processed in the next one.,TM01
ANNM,fps,Confirmation of Payee: Account Name No Match — supplied name does not match account name,disbursement,data_quality,retryable_after_fix,merchant_ops,The recipient name doesn't match the account name at their bank. Please verify before re-sending.,BE01
PANM,fps,Confirmation of Payee: Partial Account Name Match — close but not exact match,disbursement,data_quality,retryable_after_fix,merchant_ops,The recipient name is a close but not exact match. Please confirm the exact registered name.,BE01
AC01,fast,IncorrectAccountNumber — SG account number fails validation (FAST ISO 20022),disbursement,data_quality,retryable_after_fix,merchant_ops,The Singapore account number is invalid. Please verify beneficiary details.,AC01
AC03,fast,InvalidCreditorAccountNumber — SG beneficiary account invalid,disbursement,data_quality,retryable_after_fix,merchant_ops,The recipient's account number is invalid. Please verify and retry.,AC03
AC04,fast,ClosedAccountNumber — SG beneficiary account closed,disbursement,data_quality,terminal,merchant_ops,The recipient's account is closed. Updated account details are needed.,AC04
AC06,fast,BlockedAccount — SG beneficiary account blocked,disbursement,limits_regulatory,retryable_after_fix,banking_partner,The recipient's account is blocked. They should contact their bank.,AC06
AG01,fast,TransactionForbidden — account does not accept FAST transfers,disbursement,limits_regulatory,terminal,banking_partner,The recipient's account cannot receive FAST transfers. An alternate route is needed.,AG01
AM02,fast,"NotAllowedAmount — exceeds FAST transaction limit (SGD 200,000)",disbursement,limits_regulatory,retryable_after_fix,internal_eng,The amount exceeds the FAST limit. The payment will be split or re-routed via MEPS+.,AM02
AM04,fast,InsufficientFunds — settlement account has insufficient funds,disbursement,funds,retryable,banking_partner,A temporary funding issue delayed this payment. It will be retried shortly.,AM04
AM05,fast,Duplication — duplicate FAST payment detected,disbursement,technical,terminal,internal_eng,This payment was flagged as a duplicate and stopped for your protection.,AM05
BE01,fast,InconsistentWithEndCustomer — beneficiary name inconsistent with account,disbursement,data_quality,retryable_after_fix,merchant_ops,The recipient name doesn't match the account. Please verify beneficiary details.,BE01
DUPL,fast,DuplicatePayment — payment is a duplicate,disbursement,technical,terminal,internal_eng,This payment was identified as a duplicate and stopped.,DUPL
FF01,fast,InvalidFileFormat — message fails FAST format validation,disbursement,technical,retryable_after_fix,internal_eng,A technical formatting issue occurred. Our team is on it.,FF01
FRAD,fast,FraudulentOrigin — payment flagged by fraud controls,disbursement,compliance,terminal,compliance,This payment could not be processed. Please contact support.,FRAD
RC01,fast,BankIdentifierIncorrect — SG bank code invalid or not FAST participant,disbursement,data_quality,retryable_after_fix,merchant_ops,The Singapore bank code is invalid or not reachable on FAST. Please verify bank details.,RC01
RR04,fast,RegulatoryReason — held or rejected for MAS regulatory reasons,disbursement,compliance,retryable_after_fix,compliance,This payment is held for a regulatory check. We will update you shortly.,RR04
TM01,fast,InvalidCutOffTime — received after processing window,disbursement,technical,retryable,internal_eng,The payment missed the current window and will be processed in the next one.,TM01
